audio_path,reference,Full Prediction,Quantized Prediction,Full Time (s),Quantized Time (s)
LibriSpeech\train-clean\19\198\19-198-0020.flac,CATHERINE GROWS QUITE A GOOD LOOKING GIRL SHE IS ALMOST PRETTY TODAY WERE WORDS WHICH CAUGHT HER EARS NOW AND THEN AND HOW WELCOME WERE THE SOUNDS TO LOOK ALMOST PRETTY,Katherine grows quite a good-looking girl. She is almost pretty today.  Where words which caught her ears now and then and how welcome more the sounds.  To look almost pretty.,Katherine grows quite a good-looking girl. She is almost pretty today.  We're words which caught her ears now and then and how welcome more the sounds.  To look almost pretty.,1.3782433001324534,0.6730039995163679
LibriSpeech\train-clean\19\198\19-198-0021.flac,THAN A BEAUTY FROM HER CRADLE CAN EVER RECEIVE MISSUS MORLAND WAS A VERY GOOD WOMAN AND WISHED TO SEE HER CHILDREN EVERYTHING THEY OUGHT TO BE BUT HER TIME WAS SO MUCH OCCUPIED IN LYING IN AND TEACHING THE LITTLE ONES,then a beauty from her cradle can ever receive.  Mrs. Marland was a very good woman and wished to see her children everything they ought to be.  But her time was so much occupied and lying in and teaching the little ones.,then a beauty from her cradle can ever receive.  Mrs. Marland was a very good woman and wished to see her children everything they ought to be.  But her time was so much occupied and lying in and teaching the little ones.,1.1939968997612596,0.7150857001543045
LibriSpeech\train-clean\19\198\19-198-0022.flac,THAT HER ELDER DAUGHTERS WERE INEVITABLY LEFT TO SHIFT FOR THEMSELVES AND IT WAS NOT VERY WONDERFUL THAT CATHERINE WHO HAD BY NATURE NOTHING HEROIC ABOUT HER SHOULD PREFER CRICKET BASEBALL RIDING ON HORSEBACK,"that her elder daughters were inevitably left to shift for themselves.  And it was not very wonderful that Catherine, who had by nature nothing heroic about her,  should prefer cricket, baseball, riding on horseback.","that her elder daughters were inevitably left to shift for themselves.  And it was not very wonderful that Catherine, who had by nature nothing heroic about her,  should prefer a cricket, baseball, riding on horseback.",1.2011557007208467,0.6939801992848516
LibriSpeech\train-clean\19\198\19-198-0023.flac,AND RUNNING ABOUT THE COUNTRY AT THE AGE OF FOURTEEN TO BOOKS OR AT LEAST BOOKS OF INFORMATION FOR PROVIDED THAT NOTHING LIKE USEFUL KNOWLEDGE COULD BE GAINED FROM THEM PROVIDED THEY WERE ALL STORY AND NO REFLECTION,"and running about the country at the age of 14 to books, or at least books of information.  For provided that nothing like useful knowledge could be gained from them, provided they  were all story and no reflection.","and running about the country at the age of 14 to books, or at least books of information.  For provided that nothing like useful knowledge could be gained from them,  provided they were all story and no reflection.",1.2082277992740273,0.6883229995146394
LibriSpeech\train-clean\19\198\19-198-0024.flac,SHE HAD NEVER ANY OBJECTION TO BOOKS AT ALL BUT FROM FIFTEEN TO SEVENTEEN SHE WAS IN TRAINING FOR A HEROINE SHE READ ALL SUCH WORKS AS HEROINES MUST READ TO SUPPLY THEIR MEMORIES WITH THOSE QUOTATIONS WHICH ARE SO SERVICEABLE,"She had never any objection to books at all.  But from 15 to 17, she was in training for a heroine.  She read all such works as heroines must read to supply their memories with those quotations, which are so serviceable.","She had never any objection to books at all.  But from 15 to 17, she was in training for a heroine.  She read all such works as heroines must read to supply their memories with those quotations, which are so serviceable.",1.3425079993903637,0.724546100012958
LibriSpeech\train-clean\19\198\19-198-0025.flac,MANY A FLOWER IS BORN TO BLUSH UNSEEN AND WASTE ITS FRAGRANCE ON THE DESERT AIR FROM THOMPSON THAT IT IS A DELIGHTFUL TASK TO TEACH THE YOUNG IDEA HOW TO SHOOT,"Many a flower is born to blush unseen and waste its fragrance on the desert air.  From Thompson that, it is a delightful task to teach the young idea how to shoot.","Many a flower is born to blush unseen and waste its fragrance on the desert air.  From Thompson that, it is a delightful task to teach the young idea how to shoot.",1.220549300312996,0.7771935993805528
LibriSpeech\train-clean\19\198\19-198-0026.flac,AND FROM SHAKESPEARE SHE GAINED A GREAT STORE OF INFORMATION AMONGST THE REST THAT TRIFLES LIGHT AS AIR ARE TO THE JEALOUS CONFIRMATION STRONG AS PROOFS OF HOLY WRIT,"And from Shakespeare, she gained a great store of information, among the rest that trifles  light as air are to the jealous confirmation strong as proofs of Holy Rit.","And, from Shakespeare, she gained a great store of information, among the rest that  trifles light as air, are to the jealous confirmation strong as proofs of holy  bread.",1.0763572007417679,1.2699966998770833
LibriSpeech\train-clean\19\198\19-198-0027.flac,THAT THE POOR BEETLE WHICH WE TREAD UPON IN CORPORAL SUFFERANCE FEELS A PANG AS GREAT AS WHEN A GIANT DIES AND THAT A YOUNG WOMAN IN LOVE ALWAYS LOOKS,"That, the poor beetle, which we tread upon in corporal sufferance, feels a pain as great  as when a giant dies.  And that a young woman in love always looks.","That, the poor beetle, which we tread upon in corporal sufferance, feels a pang as great as  when a giant dies.  And that a young woman in love always looks.",1.0235900999978185,0.7082907995209098
LibriSpeech\train-clean\19\198\19-198-0028.flac,LIKE PATIENCE ON A MONUMENT SMILING AT GRIEF SO FAR HER IMPROVEMENT WAS SUFFICIENT AND IN MANY OTHER POINTS SHE CAME ON EXCEEDINGLY WELL FOR THOUGH SHE COULD NOT WRITE SONNETS,"Like patients on a monument, smiling at grief.  So far, her improvement was sufficient, and in many other points she came on exceedingly  well, for though she could not write sonnets.","Like patients on a monument, smiling at grief.  So far, her improvement was sufficient.  And in many other points, she came on exceedingly well,  for though she could not write sonnets.",1.1180652994662523,0.6833754004910588
LibriSpeech\train-clean\19\198\19-198-0029.flac,SHE BROUGHT HERSELF TO READ THEM AND THOUGH THERE SEEMED NO CHANCE OF HER THROWING A WHOLE PARTY INTO RAPTURES BY A PRELUDE ON THE PIANOFORTE OF HER OWN COMPOSITION SHE COULD LISTEN TO OTHER PEOPLE'S PERFORMANCE WITH VERY LITTLE FATIGUE,"She brought herself to read them, and though there seemed no chance of her throwing a whole  party into raptures by a prelude on the piano forte of her own composition, she could listen  to other people's performance with very little fatigue.","She brought herself to read them, and though there seemed no chance of her throwing a whole  party into raptures by a prelude on the piano forte of her own composition, she could listen  to other people's performance with very little fatigue.",1.469964100047946,0.7005815003067255
LibriSpeech\train-clean\19\198\19-198-0030.flac,HER GREATEST DEFICIENCY WAS IN THE PENCIL SHE HAD NO NOTION OF DRAWING NOT ENOUGH EVEN TO ATTEMPT A SKETCH OF HER LOVER'S PROFILE THAT SHE MIGHT BE DETECTED IN THE DESIGN,"Her greatest deficiency was in the pencil.  She had no notion of drawing, not enough even to attempt a sketch of her lover's profile  that she might be detected in the design.","Her greatest deficiency was in the pencil.  She had no notion of drawing, not enough even to attempt a sketch of her lover's profile  that she might be detected in the design.",0.9943602001294494,0.6565974997356534
LibriSpeech\train-clean\19\198\19-198-0031.flac,THERE SHE FELL MISERABLY SHORT OF THE TRUE HEROIC HEIGHT AT PRESENT SHE DID NOT KNOW HER OWN POVERTY FOR SHE HAD NO LOVER TO PORTRAY SHE HAD REACHED THE AGE OF SEVENTEEN,"There, she fell miserably short of the true heroic height.  At present, she did not know her own poverty, for she had no lover to portray.  She had reached the age of 17.","There, she fell miserably short of the true heroic height.  At present, she did not know her own poverty, for she had no lover to portray.  She had reached the age of 17.",1.044323899783194,0.670393000356853
LibriSpeech\train-clean\19\198\19-198-0032.flac,WITHOUT HAVING SEEN ONE AMIABLE YOUTH WHO COULD CALL FORTH HER SENSIBILITY WITHOUT HAVING INSPIRED ONE REAL PASSION AND WITHOUT HAVING EXCITED EVEN ANY ADMIRATION BUT WHAT WAS VERY MODERATE AND VERY TRANSIENT,"without having seen one amiable youth who could call forth her sensibility.  Without having inspired one real passion,  and without having excited even any admiration but what was very moderate and very transient.","without having seen one amiable youth who could call forth her sensibility, without having  inspired one real passion, and without having excited even any admiration but what was very  moderate and very transient.",1.109060499817133,0.6704115997999907
LibriSpeech\train-clean\19\198\19-198-0033.flac,THIS WAS STRANGE INDEED BUT STRANGE THINGS MAY BE GENERALLY ACCOUNTED FOR IF THEIR CAUSE BE FAIRLY SEARCHED OUT THERE WAS NOT ONE LORD IN THE NEIGHBOURHOOD NO NOT EVEN A BARONET,"This was strange indeed, but strange things may be generally accounted for if their cause  be fairly searched out.  There was not one lord in the neighborhood, no, not even a baronette.","This was strange indeed, but strange things may be generally accounted for if their  cause be fairly searched out.  There was not one lord in the neighborhood, no, not even a baronette.",1.06082300003618,0.6797655997797847
LibriSpeech\train-clean\19\198\19-198-0034.flac,THERE WAS NOT ONE FAMILY AMONG THEIR ACQUAINTANCE WHO HAD REARED AND SUPPORTED A BOY ACCIDENTALLY FOUND AT THEIR DOOR NOT ONE YOUNG MAN WHOSE ORIGIN WAS UNKNOWN HER FATHER HAD NO WARD AND THE SQUIRE OF THE PARISH NO CHILDREN,"There was not one family among their acquaintance who had reared and supported a boy accidentally  found at their door.  Not one young man whose origin was unknown.  Her father had no ward, and the squire of the parish, no children.","There was not one family among their acquaintance who had reared and supported a boy accidentally found at their door.  Not one young man whose origin was unknown. Her father had no ward, and the squire of the parish, no children.",1.143826900050044,0.6945266993716359
LibriSpeech\train-clean\19\198\19-198-0035.flac,BUT WHEN A YOUNG LADY IS TO BE A HEROINE THE PERVERSENESS OF FORTY SURROUNDING FAMILIES CANNOT PREVENT HER SOMETHING MUST AND WILL HAPPEN TO THROW A HERO IN HER WAY MISTER ALLEN,"But, when a young lady is to be a heroine, the perverseness of 40 surrounding families  cannot prevent her.  Something must and will happen to throw a hero in her way.  Mr. Allen","But, when a young lady is to be a heroine, the perverseness of 40 surrounding families  cannot prevent her.  Something must and will happen to throw a hero in her way.  Mr. Allen",1.1447372995316982,0.7083316994830966
LibriSpeech\train-clean\19\198\19-198-0036.flac,WHO OWNED THE CHIEF OF THE PROPERTY ABOUT FULLERTON THE VILLAGE IN WILTSHIRE WHERE THE MORLANDS LIVED WAS ORDERED TO BATH FOR THE BENEFIT OF A GOUTY CONSTITUTION AND HIS LADY A GOOD HUMOURED WOMAN FOND OF MISS MORLAND AND PROBABLY AWARE THAT IF,"who owned the chief of the property about Fullerton, the village in Wiltshire, where the  Marlins lived, was ordered to bath for the benefit of a gouty constitution. And his lady,  a good humored woman, fond of Miss Marlins, and probably aware that if...","who owned the chief of the property about Fullerton, the village in Wiltshire, where the  Marlins lived, was ordered to bath for the benefit of a gouty constitution. And his lady,  a good humored woman, fond of Miss Marland, and probably aware that if...",1.3010249007493258,0.7390406997874379
LibriSpeech\train-clean\19\198\19-198-0037.flac,SHE MUST SEEK THEM ABROAD INVITED HER TO GO WITH THEM,She must seek them abroad and invite it her to go with them.,She must seek them abroad and invite it her to go with them.,0.8240133002400398,0.5736780995503068
